code_op;nom_op;num_site;id_station_anfr;x;y;latitude;longitude;nom_reg;nom_dep;insee_dep;nom_com;insee_com;site_2g;site_3g;site_4g;site_5g;date_ouverturecommerciale_5g;site_5g_700_m_hz;site_5g_800_m_hz;site_5g_1800_m_hz;site_5g_2100_m_hz;site_5g_3500_m_hz
34020;Digicel;9733370008;0000017913;328909,77;560730,52;5,07113;-52,54336;Guyane;Guyane;973;Macouria;97305;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370062;0000017323;331808,77;535383,03;4,84196;-52,51669;Guyane;Guyane;973;Montsinéry-Tonnegrande;97313;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370078;0000017923;352338,67;540684,06;4,8903;-52,33169;Guyane;Guyane;973;Matoury;97307;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370080;0000017330;350191,67;514090,11;4,64974;-52,35058;Guyane;Guyane;973;Roura;97310;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370081;0000017934;358075,03;543867,74;4,91919;-52,28002;Guyane;Guyane;973;Remire-Montjoly;97309;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370310;0000017340;352895,65;541788,54;4,90029;-52,32669;Guyane;Guyane;973;Cayenne;97302;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370206;0000017611;312915,06;452120,38;4,08863;-52,6853;Guyane;Guyane;973;Régina;97301;1;1;0;0;;0;0;0;0;0
34020;Digicel;9733370043;0000017929;296146,65;585670,11;5,29586;-52,83947;Guyane;Guyane;973;Sinnamary;97312;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370004;0000017912;337639,94;552908,88;5,00058;-52,46447;Guyane;Guyane;973;Macouria;97305;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370006;0000017906;368204,85;541023,67;4,89364;-52,18863;Guyane;Guyane;973;Cayenne;97302;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370059;0000017942;334453,13;546956,93;4,94668;-52,49309;Guyane;Guyane;973;Montsinéry-Tonnegrande;97313;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370056;0000017931;354533,77;544580,13;4,92557;-52,31197;Guyane;Guyane;973;Cayenne;97302;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370048;0000017936;351502,42;538505,14;4,87057;-52,33919;Guyane;Guyane;973;Matoury;97307;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370210;0000017999;353211,74;545995,49;4,93835;-52,32391;Guyane;Guyane;973;Cayenne;97302;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370196;0000017606;145985,49;435067,48;3,93002;-54,18725;Guyane;Guyane;973;Papaichton;97362;1;1;0;0;;0;0;0;0;0
34020;Digicel;9733370030;0000017925;359491,52;543250,69;4,91363;-52,26724;Guyane;Guyane;973;Remire-Montjoly;97309;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370018;0000017905;358400,83;537048,02;4,85752;-52,27697;Guyane;Guyane;973;Remire-Montjoly;97309;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370022;0000017907;350058,24;540166,45;4,88557;-52,35224;Guyane;Guyane;973;Matoury;97307;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370042;0000017920;336829,37;505148,92;4,56863;-52,47086;Guyane;Guyane;973;Roura;97310;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370060;0000017935;353397,34;546548,27;4,94335;-52,32225;Guyane;Guyane;973;Cayenne;97302;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370051;0000017324;340611,17;530419,26;4,79724;-52,43724;Guyane;Guyane;973;Montsinéry-Tonnegrande;97313;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370082;0000017306;217792,51;609090,99;5,50502;-53,54697;Guyane;Guyane;973;Mana;97306;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370074;0000017322;351727,85;527847,33;4,77419;-52,33697;Guyane;Guyane;973;Matoury;97307;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370071;0000017328;345491,79;521808,57;4,71946;-52,39308;Guyane;Guyane;973;Roura;97310;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370187;0000017951;164409,21;609401,4;5,50557;-54,02836;Guyane;Guyane;973;Saint-Laurent-du-Maroni;97311;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370204;0000017601;154544,72;363911,12;3,28752;-54,10808;Guyane;Guyane;973;Maripasoula;97353;1;1;0;0;;0;0;0;0;0
34020;Digicel;9733370205;0000017608;124110,62;463236,24;4,18363;-54,38502;Guyane;Guyane;973;Grand-Santi;97357;1;1;0;0;;0;0;0;0;0
34020;Digicel;9733370192;0000017604;166070,89;383707,15;3,46668;-54,00502;Guyane;Guyane;973;Maripasoula;97353;1;1;0;0;;0;0;0;0;0
34020;Digicel;9733370194;0000017610;123746,81;499101,95;4,50752;-54,38975;Guyane;Guyane;973;Grand-Santi;97357;1;1;0;0;;0;0;0;0;0
34020;Digicel;9733370215;0000017904;357399,17;545035,23;4,92974;-52,28614;Guyane;Guyane;973;Cayenne;97302;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370016;0000017914;318111,5;565702,77;5,11585;-52,64086;Guyane;Guyane;973;Kourou;97304;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370047;0000017326;345693,6;529916,9;4,7928;-52,39141;Guyane;Guyane;973;Montsinéry-Tonnegrande;97313;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370036;0000017924;333116,73;541492,5;4,89724;-52,50502;Guyane;Guyane;973;Montsinéry-Tonnegrande;97313;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370041;0000017926;163441,41;606885,3;5,4828;-54,03697;Guyane;Guyane;973;Saint-Laurent-du-Maroni;97311;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370061;0000017943;322595,27;560500,21;5,06891;-52,6003;Guyane;Guyane;973;Kourou;97304;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370064;0000017303;236830,87;610640,84;5,51974;-53,37531;Guyane;Guyane;973;Iracoubo;97303;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370075;0000017319;182170,2;625024,08;5,64752;-53,86891;Guyane;Guyane;973;Mana;97306;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370050;0000017940;332475,21;557496,81;5,04196;-52,51114;Guyane;Guyane;973;Macouria;97305;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370083;0000017321;163661,22;601625,79;5,4353;-54,03475;Guyane;Guyane;973;Saint-Laurent-du-Maroni;97311;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370052;0000017941;346369,12;544074,49;4,92085;-52,38558;Guyane;Guyane;973;Macouria;97305;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370044;0000017320;158652,69;598330,16;5,4053;-54,07974;Guyane;Guyane;973;Saint-Laurent-du-Maroni;97311;1;0;0;0;;0;0;0;0;0
34020;Digicel;9733370185;0000017347;166471,69;609022,25;5,50224;-54,00975;Guyane;Guyane;973;Saint-Laurent-du-Maroni;97311;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370201;0000017614;246223,41;533779,2;4,8253;-53,28808;Guyane;Guyane;973;Saint-Élie;97358;1;1;0;0;;0;0;0;0;0
34020;Digicel;9733370190;0000017343;124740,22;473106,16;4,27279;-54,37975;Guyane;Guyane;973;Grand-Santi;97357;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370203;0000017612;254662,56;400794,15;3,62336;-53,20863;Guyane;Guyane;973;Saül;97352;1;1;0;0;;0;0;0;0;0
34020;Digicel;9733370208;0000017342;351749,52;349989,68;3,16557;-52,33419;Guyane;Guyane;973;Camopi;97356;1;1;0;0;;0;0;0;0;0
34020;Digicel;9733370214;0000017351;343291,5;545524,38;4,9339;-52,41336;Guyane;Guyane;973;Macouria;97305;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370017;0000017917;308036;575682,39;5,20585;-52,73197;Guyane;Guyane;973;Kourou;97304;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370072;0000017314;170623,86;607556,65;5,48919;-53,97225;Guyane;Guyane;973;Saint-Laurent-du-Maroni;97311;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370057;0000017930;355860,58;545621,86;4,93502;-52,30002;Guyane;Guyane;973;Cayenne;97302;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370049;0000017325;336613,53;534635,18;4,83529;-52,47336;Guyane;Guyane;973;Montsinéry-Tonnegrande;97313;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370070;0000017327;341833,47;525963,12;4,75697;-52,42614;Guyane;Guyane;973;Roura;97310;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370186;0000017953;191759,4;627467,68;5,67002;-53,78253;Guyane;Guyane;973;Mana;97306;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370193;0000017607;425718,54;447624,95;4,04946;-51,66919;Guyane;Guyane;973;Saint-Georges;97308;1;1;0;0;;0;0;0;0;0
34020;Digicel;9733370200;0000017602;160911,93;374315,36;3,38169;-54,05114;Guyane;Guyane;973;Maripasoula;97353;1;1;0;0;;0;0;0;0;0
34020;Digicel;9733370212;0000017349;354474,32;545655,17;4,93529;-52,31252;Guyane;Guyane;973;Cayenne;97302;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370304;0000017312;287175,9;572670,06;5,17807;-52,92003;Guyane;Guyane;973;Sinnamary;97312;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370224;0000017313;309677,94;567936,66;5,13585;-52,71697;Guyane;Guyane;973;Kourou;97304;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370222;0000017354;165218,34;604938,63;5,46529;-54,02086;Guyane;Guyane;973;Saint-Laurent-du-Maroni;97311;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370188;0000017344;162984,64;403395,66;3,64446;-54,03335;Guyane;Guyane;973;Maripasoula;97353;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370225;0000017933;358221,43;540028,01;4,88447;-52,27864;Guyane;Guyane;973;Remire-Montjoly;97309;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370299;0000017944;356650,11;539815,91;4,88252;-52,2928;Guyane;Guyane;973;Remire-Montjoly;97309;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370313;0000017958;164713,7;608723,42;5,49946;-54,02558;Guyane;Guyane;973;Saint-Laurent-du-Maroni;97311;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370312;0000017957;162233,75;605722,78;5,47224;-54,0478;Guyane;Guyane;973;Saint-Laurent-du-Maroni;97311;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370307;0000017307;197443,33;624520;5,64363;-53,73113;Guyane;Guyane;973;Mana;97306;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370303;0000017927;409853,15;430781,91;3,89697;-51,81196;Guyane;Guyane;973;Saint-Georges;97308;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370314;0000017911;342616,73;546877,63;4,94613;-52,41947;Guyane;Guyane;973;Macouria;97305;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370301;0000017949;291543,6;570568,12;5,15919;-52,88058;Guyane;Guyane;973;Kourou;97304;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370306;0000017355;179387,96;616736,68;5,57252;-53,89363;Guyane;Guyane;973;Mana;97306;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370309;0000017960;184882,87;625594,55;5,65279;-53,84447;Guyane;Guyane;973;Mana;97306;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370300;0000017948;304154,4;564203,85;5,10196;-52,76669;Guyane;Guyane;973;Kourou;97304;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370302;0000017955;317382,86;569851,41;5,15335;-52,64753;Guyane;Guyane;973;Kourou;97304;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370220;0000017331;187844,3;620200,52;5,60418;-53,81753;Guyane;Guyane;973;Mana;97306;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370311;0000017333;336534,53;554538,95;5,0153;-52,47447;Guyane;Guyane;973;Macouria;97305;1;1;1;0;;0;0;0;0;0
34020;Digicel;9733370221;0000017356;339881,58;549801,39;4,97252;-52,44419;Guyane;Guyane;973;Macouria;97305;1;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17303;9730980064;236831;610641;5,51974;-53,3753;Guyane;Guyane;973;Iracoubo;97303;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17304;9730980066;247716;606542;5,48307;-53,27697;Guyane;Guyane;973;Iracoubo;97303;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17305;9730980085;227421;613753;5,54752;-53,4603;Guyane;Guyane;973;Iracoubo;97303;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17307;9730980307;197443;624520;5,64363;-53,73114;Guyane;Guyane;973;Mana;97306;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17308;9730980069;206322;619869;5,60197;-53,65086;Guyane;Guyane;973;Mana;97306;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17309;9730980073;179903;633613;5,72501;-53,88975;Guyane;Guyane;973;Awala-Yalimapo;97361;0;1;1;0;;0;0;0;0;0
